date,filename,insurance_beg_tot_k,insurance_beg_tot_b,insurance_beg_pi_k,insurance_beg_pi_b,insurance_beg_mh_k,insurance_beg_mh_b,prepayment_tot_k,prepayment_tot_b,prepayment_pi_k,prepayment_pi_b,prepayment_mh_k,prepayment_mh_b,claims_tot_k,claims_tot_b,claims_pi_k,claims_pi_b,claims_mh_k,claims_mh_b,endorsements_tot_k,endorsements_tot_b,endorsements_pi_k,endorsements_pi_b,endorsements_mh_k,endorsements_mh_b,adjustment_tot_k,adjustment_tot_b,adjustment_pi_k,adjustment_pi_b,adjustment_mh_k,adjustment_mh_b,insurance_end_tot_k,insurance_end_tot_b,insurance_end_pi_k,insurance_end_pi_b,insurance_end_mh_k,insurance_end_mh_b
2013-05-01,prorepma2013ext20130718.pdf,41225,996,26350,414,14875,582,-494,-10,-269,-3,-225,-7,-25,-1,-10,-0,-15,-1,668,14,619,11,49,2,-46,-1,-30,-0,-16,-1,41328,998,26660,421,14668,577
2013-06-01,prodrepjune2013.pdf,41328,998,26660,421,14668,577,-508,-10,-304,-4,-204,-6,-20,-0,-13,-0,-7,-0,666,15,581,10,85,4,-66,-1,-46,-1,-20,-1,41400,1001,26878,427,14522,574
2013-08-01,revprodreport_aug2013.pdf,41750,1009,27311,436,14439,572,-454,-9,-332,-5,-122,-4,-25,-1,-5,-0,-20,-1,489,9,482,9,7,0,-5,0,-10,-0,5,0,41755,1008,27446,440,14309,568
2013-09-01,prodrepsep2013rev03052014.pdf,41755,1008,27446,440,14309,568,-419,-7,-326,-4,-93,-3,-41,-1,-8,0,-33,-1,499,10,497,9,2,1,-6,0,-12,0,6,0,41788,1010,27597,445,14191,565
2013-12-01,fhaprodreportdec2013.pdf,42033,1015,27992,454,14041,561,-325,-5,-276,-4,-49,-2,-48,-1,-21,-0,-27,-1,381,8,350,6,31,2,-3,1,-12,-0,9,1,42038,1017,28033,456,14005,561
2014-02-01,fhaprodrepfeb2014.pdf,42030,1018,28060,458,13970,560,-268,-5,-226,-3,-42,-1,-36,-1,-19,-0,-17,-1,327,7,307,6,20,1,3,0,-2,0,5,0,42056,1019,28120,460,13936,559
2014-03-01,fhaprodreport_mar2014.pdf,42056,1019,28120,460,13936,559,-362,-6,-309,-4,-53,-2,-41,-1,-22,-0,-19,-1,444,9,428,8,16,1,-50,-1,-35,-0,-15,-0,42047,1020,28182,463,13865,557
2014-04-01,fhaprodrep_apr2014.pdf,42047,1020,28182,463,13865,557,-419,-7,-350,-5,-69,-2,-22,-1,-6,-0,-16,-1,532,11,507,10,25,1,-28,0,-32,-0,4,1,42110,1023,28301,468,13809,556
2014-06-01,fhaproreport_june2014.pdf,42250,1026,28525,473,13725,553,-457,-8,-386,-5,-71,-2,-23,-1,-8,-0,-15,-1,514,10,491,9,23,1,-16,1,-35,-0,19,1,42268,1029,28587,476,13681,552
2014-07-01,fhaprodreport_jul2014.pdf,42268,1029,28587,476,13681,552,-440,-7,-384,-5,-56,-2,-47,-1,-24,-0,-23,-1,517,10,471,8,46,2,-32,-0,-14,0,-18,-1,42266,1030,28636,479,13630,551
