date,filename,total_endorsement_count,purchase_pct,refinance_pct,purchase_loan_count,first_time_homebuyer_pct,203k_pct,minority_pct,non_minority_pct,undisclosed_race_pct,refinance_loan_count,fha_streamline_pct,fha_to_fha_pct,fha_to_fha_noncash_pct,fha_to_fha_cashout_pct,conv_to_fha_pct,conv_to_fha_noncash_pct,conv_to_fha_cashout_pct,single_family_detached_pct,townhome_pct,condominium_pct,2_4_unit_pct,manufactured_housing_pct
2013-05-01,prorepma2013ext20130718.pdf,123799,,,61466,79.5,2.3,,,5.1,62333,80.9,5.8,73.2,26.8,13.3,65.3,34.7,88.9,,,1.7,1.8
2013-06-01,prodrepjune2013.pdf,111662,55.0,45.0,61418,79.0,2.2,29.2,65.5,5.3,50244,79.1,6.3,71.5,28.5,14.6,64.5,35.5,88.6,3.6,4.1,1.8,1.9
2013-07-01,prodrepjuly2013.pdf,105955,62.8,37.2,66555,79.1,2.1,29.6,65.2,5.3,39400,74.7,7.4,66.7,33.3,17.9,63.0,37.0,88.3,4.2,3.8,1.9,1.9
2013-08-01,revprodreport_aug2013.pdf,97713,65.3,34.7,63819,79.0,2.0,30.5,64.2,5.3,33894,73.2,6.9,61.7,38.3,20.0,61.1,38.9,88.6,4.1,3.4,1.9,2.0
2013-09-01,prodrepsep2013rev03052014.pdf,81314,68.2,31.8,55446,80.0,2.3,31.4,63.3,5.3,25868,72.9,6.5,56.5,43.5,20.5,57.5,42.5,88.4,4.2,3.4,2.0,2.1
2013-10-01,fhaprrepoct2013rev03052014.pdf,83939,71.2,28.8,59790,79.3,2.3,32.4,62.1,5.5,24149,69.1,7.8,51.5,48.5,23.1,56.7,43.3,88.0,4.3,3.2,2.1,2.3
2013-11-01,prodreportnov2013.pdf,61535,75.0,25.0,46165,80.2,2.4,33.2,61.4,5.4,15370,61.8,9.4,45.5,54.5,28.8,56.4,43.6,87.5,4.7,3.1,2.2,2.4
2013-12-01,fhaprodreportdec2013.pdf,63010,74.6,25.4,47007,80.4,2.4,33.7,60.8,5.6,16003,60.8,10.4,43.7,56.3,28.8,55.0,45.0,87.7,4.6,3.0,2.1,2.5
2014-01-01,fhaprodreportjan2014.pdf,65389,73.6,26.4,48115,80.4,2.4,35.0,59.5,5.6,17274,59.1,10.1,42.7,57.3,30.8,57.7,42.3,87.7,4.7,3.1,2.2,2.4
2014-02-01,fhaprodrepfeb2014.pdf,47710,70.7,29.3,33738,80.3,3.0,35.4,59.3,5.3,13972,60.5,10.4,41.1,58.9,29.1,58.7,41.3,86.9,4.7,3.0,2.4,3.1
2014-03-01,fhaprodreport_mar2014.pdf,51394,73.9,26.1,37984,81.7,2.4,33.8,60.7,5.5,13410,57.8,11.9,45.2,54.8,30.3,57.4,42.6,87.5,5.0,2.9,2.1,2.5
2014-04-01,fhaprodrep_apr2014.pdf,61406,75.2,24.8,46183,82.0,2.4,33.6,61.0,5.4,15223,59.8,10.8,46.3,53.7,29.4,57.4,42.6,87.5,5.0,3.0,2.0,2.4
2014-05-01,fhaprodrep_may2014.pdf,62959,75.8,24.2,47712,82.7,2.0,33.1,61.0,5.8,15247,58.6,11.1,41.2,58.8,30.2,55.8,44.2,4.9,2.8,1.8,2.4,88.0
2014-06-01,fhaproreport_june2014.pdf,69263,78.1,21.9,54118,82.3,2.1,32.9,61.5,5.6,15145,58.4,12.0,42.2,57.8,29.6,54.2,45.8,5.1,2.8,1.8,2.4,88.0
2014-07-01,fhaprodreport_jul2014.pdf,74869,79.9,20.1,59836,81.7,2.0,33.4,60.8,5.8,15033,56.6,13.3,40.3,59.8,30.1,53.8,46.2,87.8,5.1,2.8,1.9,2.3
2014-08-01,fhaprodrep_aug2014.pdf,72139,79.0,21.0,57020,81.5,2.1,33.7,60.6,5.7,15119,57.4,12.9,39.1,60.9,29.8,51.1,48.9,87.8,5.0,2.7,2.1,2.4
2014-09-01,fhaproductionrptsep2014.pdf,72730,78.8,21.2,57324,81.6,2.2,34.4,60.2,5.4,15406,56.2,13.3,38.5,61.5,30.4,50.4,49.6,87.3,5.1,2.7,2.2,2.7
2014-10-01,fhaprodreport_oct2014.pdf,75622,77.7,22.3,58781,81.6,2.3,34.8,59.4,5.8,16841,50.5,15.2,38.1,61.9,34.3,50.5,49.5,86.9,5.2,2.9,2.2,2.9
2014-11-01,fhaprodreport_nov2014.pdf,58297,76.9,23.1,44832,81.8,2.2,35.6,58.8,5.6,13465,50.1,15.9,39.5,60.5,33.9,51.9,48.1,87.4,4.7,2.8,2.3,2.8
2014-12-01,fhaprodreport_dec2014.pdf,67675,75.6,24.4,51185,81.5,2.2,35.7,58.6,5.7,16490,50.2,16.5,41.9,58.1,33.3,49.9,50.1,87.3,5.1,2.7,2.1,2.8
2015-01-01,fhaprodreport_jan2015.pdf,66287,75.3,24.7,49926,81.6,2.4,37.1,57.1,5.8,16361,50.5,16.2,43.8,56.2,33.3,50.5,49.5,87.0,5.1,2.7,2.4,2.8
2015-02-01,fhaprodreport_feb2015.pdf,50411,73.5,26.5,37038,82.1,2.7,37.6,56.4,6.0,13373,53.9,14.5,43.2,56.8,31.6,50.8,49.2,87.2,4.7,2.7,2.5,2.9
2015-03-01,fhaprodreport_mar2015.pdf,83444,54.6,45.4,45571,81.9,2.2,34.5,59.8,5.7,37873,72.7,12.1,62.1,37.9,15.2,52.6,47.4,89.3,3.7,2.9,2.0,2.0
2015-04-01,fhaprodreport_apr2015.pdf,103403,56.0,44.0,57910,82.1,1.9,33.0,61.3,5.7,45493,72.1,12.9,64.3,35.7,15.0,53.9,46.1,89.1,4.0,3.0,2.0,1.8
2015-05-01,fhaprodreport_may2015.pdf,102795,59.3,40.7,60942,82.2,1.8,32.6,61.4,6.0,41853,71.4,12.6,60.1,39.9,16.0,52.1,47.9,88.9,4.2,3.0,2.1,1.8
2015-06-01,fhaprodreport_jun2015.pdf,128449,62.2,37.8,79949,81.6,1.7,32.0,62.2,5.8,48500,71.5,12.0,56.4,43.6,16.5,52.4,47.6,88.8,4.5,2.9,2.0,1.9
2015-07-01,fhaprodreport_jul2015.pdf,134187,67.2,32.8,90210,81.0,1.7,32.6,61.4,6.1,43977,66.2,13.3,52.1,47.9,20.5,50.1,49.9,88.6,4.8,2.8,1.8,2.0
2015-08-01,fhaprodreport_aug2015.pdf,126316,71.6,28.4,90478,81.1,1.8,33.6,60.1,6.3,35838,59.8,15.1,44.9,55.1,25.1,49.0,51.0,88.1,5.0,2.8,2.0,2.1
2015-09-01,fhaprodreport_sep2015.pdf,119325,72.5,27.5,86554,81.1,1.7,33.6,60.2,6.2,32771,56.1,15.6,42.1,57.9,28.2,46.9,53.1,88.1,5.0,2.7,2.0,2.2
2015-10-01,fhaprodreport_oct2015.pdf,119186,70.6,29.4,84110,81.2,1.9,33.9,59.9,6.2,35076,55.7,15.3,40.1,59.8,29.0,46.1,53.9,87.7,5.0,2.9,2.0,2.4
2015-11-01,fhaprodreport_nov2015.pdf,93327,69.9,30.1,65277,81.3,2.0,34.2,59.3,6.5,28050,55.2,15.4,40.7,59.3,29.4,46.4,53.6,87.6,5.0,2.8,2.1,2.6
2015-12-01,fhaprodreport_dec2015.pdf,88674,69.0,31.0,61161,81.6,2.0,35.4,58.2,6.4,27513,51.5,16.7,40.0,60.0,31.8,43.4,56.6,87.7,4.9,2.7,2.3,2.5
2016-01-01,fhaprodreport_jan2016.pdf,89426,69.8,30.2,62396,81.7,1.9,35.6,58.0,6.5,27030,54.0,16.1,40.9,59.1,29.9,42.5,57.5,87.3,5.2,2.9,2.2,2.4
2016-02-01,fhaprodreport_feb2016.pdf,88715,66.6,33.4,59052,81.8,2.1,36.0,57.8,6.3,29663,54.9,15.7,38.9,61.1,29.4,43.0,57.0,87.5,5.0,2.7,2.2,2.5
2016-03-01,fhaprodreport_mar2016.pdf,99285,66.1,33.9,65619,82.4,2.0,34.5,59.2,6.4,33666,57.0,15.3,39.8,60.2,27.7,41.9,58.1,87.9,4.8,2.8,2.1,2.5
2016-04-01,fhaprodreport_apr2016.pdf,97174,68.7,31.3,66716,83.0,1.8,34.0,59.5,6.6,30458,56.7,15.7,42.6,57.4,27.6,41.8,58.2,88.2,4.8,2.8,1.9,2.3
2016-05-01,fhaprodreport_may2016.pdf,104265,70.8,29.2,73861,83.3,1.7,33.6,59.8,6.6,30404,54.8,16.5,41.4,58.6,28.7,41.4,58.6,88.1,5.1,2.6,1.8,2.4
2016-06-01,fhaprodreport_jun2016.pdf,115647,73.1,26.9,84551,82.8,1.5,33.3,60.2,6.6,31096,54.2,17.1,39.8,60.2,28.7,40.4,59.6,88.0,5.3,2.6,1.9,2.3
2016-07-01,fhaprodreport_jul2016.pdf,115245,72.5,27.5,83550,82.2,1.6,33.5,60.1,6.4,31695,56.2,16.3,36.7,63.3,27.5,39.9,60.1,88.1,5.3,2.6,1.8,2.2
2016-08-01,fhaprodreport_aug2016.pdf,130167,71.0,29.0,92462,82.0,1.7,34.7,58.8,6.5,37705,60.4,14.7,37.8,62.2,24.9,38.2,61.8,87.9,5.3,2.6,2.0,2.2
2016-09-01,fhaprodreport_sep2016.pdf,116935,69.1,30.9,80746,81.7,1.7,35.1,58.2,6.7,36189,55.3,17.0,37.3,62.7,27.7,38.3,61.7,87.8,5.3,2.6,2.0,2.2
2016-10-01,fhaprodreport_oct2016.pdf,116324,66.0,34.0,76759,82.2,1.7,35.2,58.2,6.6,39565,59.8,15.7,37.5,62.5,24.5,36.6,63.4,87.7,5.1,2.7,2.1,2.3
2016-11-01,fhaprodreport_nov2016.pdf,111278,64.3,35.7,71520,81.8,1.6,36.0,57.4,6.6,39758,59.9,15.5,36.0,64.0,24.5,37.3,62.7,87.9,5.0,2.6,2.2,2.3
2016-12-01,fhaprodreport_dec2016.pdf,109912,65.6,34.4,72073,82.0,1.7,36.7,56.7,6.6,37839,53.6,18.0,34.6,65.4,28.3,36.6,63.4,87.6,5.1,2.6,2.2,2.5
2017-01-01,fhaprodreport_jan2017.pdf,114374,64.3,35.7,73558,82.1,1.9,37.7,55.8,6.5,40816,51.8,17.7,30.6,69.4,30.5,36.5,63.5,87.2,5.4,2.6,2.2,2.6
2017-02-01,fhaprodreport_feb2017.pdf,85705,63.9,36.1,54767,82.3,2.1,38.3,55.0,6.6,30938,44.8,19.7,25.7,74.3,35.5,35.0,65.0,86.9,5.4,2.5,2.4,2.8
2017-03-01,fhaprodreport_mar2017.pdf,98215,68.4,31.6,67159,82.4,1.8,35.4,58.0,6.7,31056,40.2,20.9,24.4,75.6,38.9,33.2,66.8,87.2,5.6,2.4,2.2,2.6
2017-04-01,fhaprodreport_apr2017.pdf,91564,72.8,27.2,66641,82.7,1.6,35.3,57.8,6.9,24923,36.3,22.4,22.4,77.6,41.2,33.6,66.4,87.1,5.7,2.3,2.2,2.6
2017-05-01,fhaprodreport_may2017.pdf,107221,75.8,24.2,81287,83.1,1.6,35.5,57.7,6.8,25934,35.5,23.1,21.2,78.8,41.5,32.0,68.0,86.9,5.9,2.4,2.1,2.7
2017-06-01,fhaprodreport_jun2017.pdf,106758,77.3,22.7,82552,82.7,1.5,34.9,58.1,7.0,24206,34.0,24.6,19.3,80.7,41.5,29.7,70.3,86.8,6.0,2.4,2.1,2.8
2017-07-01,FHAProdReport_Jul2017.pdf,100347,78.3,21.7,78548,82.0,1.4,35.3,57.8,7.0,21799,32.2,26.4,19.8,80.2,41.4,28.8,71.2,86.8,6.1,2.3,2.0,2.9
2017-08-01,FHAProdReport_Aug2017.pdf,111747,77.6,22.4,86721,81.8,1.5,36.1,56.9,7.0,25026,26.5,28.6,17.6,82.4,45.0,27.7,72.3,86.7,6.1,2.3,2.2,2.7
2017-09-01,FHAProdReport_Sep2017.pdf,92994,75.8,24.2,70493,81.6,1.4,36.6,56.6,6.8,22501,26.4,29.6,16.5,83.5,44.0,26.5,73.5,86.7,6.0,2.3,2.3,2.8
2017-10-01,FHAProdReport_Oct2017.pdf,97806,74.2,25.8,72584,82.0,1.4,36.7,56.4,6.9,25222,29.2,28.9,16.7,83.3,41.9,26.4,73.6,86.6,6.0,2.3,2.3,2.9
2017-11-01,FHAProdReport_Nov2017.pdf,88470,73.5,26.5,65063,81.9,1.4,37.3,55.6,7.1,23407,27.6,30.1,16.7,83.3,42.3,26.4,73.6,86.7,5.8,2.1,2.4,3.0
2017-12-01,FHAProdReport_Dec2017.pdf,81370,71.1,28.9,57869,82.0,1.7,37.5,55.4,7.1,23501,30.2,28.9,15.8,84.2,40.9,25.6,74.4,86.5,5.9,2.2,2.5,3.0
2018-01-01,FHAProdReport_Jan2018.pdf,89389,72.0,28.0,64401,82.0,1.5,38.9,53.8,7.4,24988,29.9,29.5,16.1,83.9,40.6,24.7,75.3,86.0,6.2,2.1,2.6,3.0
2018-02-01,FHAProdReport_Feb2018.pdf,68335,68.2,31.8,46620,82.2,1.7,39.4,52.7,7.9,21715,30.5,29.3,16.0,84.0,40.2,25.2,74.8,86.6,5.5,2.1,2.6,3.2
2018-03-01,FHAProdReport_Mar2018.pdf,77732,71.6,28.4,55621,82.6,1.5,36.5,54.8,8.7,22111,25.0,30.0,13.9,86.1,45.0,24.5,75.5,86.6,5.9,2.1,2.4,3.1
2018-04-01,FHAProdReport_Apr2018.pdf,78818,77.6,22.4,61179,83.5,1.3,35.4,55.5,9.2,17639,18.7,32.0,13.0,87.0,49.3,23.9,76.1,86.5,6.2,1.9,2.2,3.1
2018-05-01,FHAProdReport_May2018.pdf,86627,80.4,19.6,69671,83.7,1.4,35.5,55.3,9.3,16956,14.1,35.4,11.5,88.5,50.5,23.4,76.6,86.4,6.3,1.9,2.3,3.1
2018-06-01,FHAProdReport_Jun2018.pdf,86886,82.7,17.3,71898,83.6,1.3,35.1,55.7,9.2,14988,8.5,37.6,10.1,89.9,53.8,22.7,77.3,86.3,6.5,1.9,2.3,3.1
2018-07-01,FHAProdReport_Jul2018.pdf,87170,82.8,17.2,72155,83.2,1.3,35.7,54.7,9.6,15015,8.4,38.1,9.2,90.8,53.4,21.4,78.6,86.1,6.7,1.9,2.2,3.0
2018-08-01,FHAProdReport_Aug2018.pdf,94034,81.6,18.4,76735,82.7,1.3,35.7,54.8,9.5,17299,7.4,39.9,9.1,90.9,52.7,19.4,80.6,85.9,6.5,1.9,2.4,3.3
2018-09-01,FHAProdReport_Sep2018.pdf,77980,80.1,19.9,62492,82.7,1.3,36.1,54.4,9.6,15488,7.9,39.9,8.5,91.5,52.3,18.9,81.1,85.9,6.5,1.9,2.5,3.2
